model,faithfulness,relevance,naturalness,overall
Qwen_Qwen2.5-32B-Instruct-AWQ,7.582,8.418,8.81,8.27
Qwen_Qwen2.5-14B-Instruct-AWQ,7.582,8.418,8.747,8.249
NCSOFT_Llama-VARCO-8B-Instruct,7.494,8.241,8.785,8.173
Qwen_QwQ-32B-AWQ,7.354,8.013,8.241,7.869
MLP-KTLim_llama-3-Korean-Bllossom-8B,7.165,7.899,8.481,7.848
Qwen_Qwen3-14B-AWQ,7.595,8.443,7.152,7.73
Qwen_Qwen2.5-7B-Instruct-AWQ,6.899,7.785,8.494,7.726
Qwen_Qwen2.5-3B-Instruct,6.62,7.519,8.481,7.54
Qwen_Qwen3-32B-AWQ,7.127,7.759,6.848,7.245
RedHatAI_gemma-3-27b-it-quantized.w4a16,6.114,6.823,8.557,7.165
Bllossom_llama-3.2-Korean-Bllossom-3B,6.342,7.0,8.025,7.122
casperhansen_mistral-nemo-instruct-2407-awq,5.81,6.684,8.342,6.945
Qwen_Qwen3-8B,6.329,6.987,7.342,6.886
RedHatAI_gemma-3-12b-it-quantized.w4a16,5.468,6.405,8.506,6.793
cyankiwi_gemma-4-26B-A4B-it-AWQ-4bit,6.203,6.81,7.228,6.747
google_gemma-3-1b-it,5.962,6.253,7.494,6.57
google_gemma-3-4b-it,4.975,6.127,8.228,6.443
google_gemma-3n-E2B-it,5.076,5.886,8.304,6.422
HuggingFaceH4_zephyr-7b-beta,5.278,6.114,7.848,6.413
mistralai_Mistral-7B-Instruct-v0.3,5.241,6.0,7.899,6.38
Qwen_Qwen2.5-1.5B-Instruct,5.291,6.316,7.443,6.35
microsoft_Phi-3.5-mini-instruct,5.038,5.772,7.646,6.152
01-ai_Yi-1.5-9B-Chat,3.835,4.797,7.013,5.215
01-ai_Yi-1.5-6B-Chat,3.759,4.595,6.962,5.105
cyankiwi_gemma-4-E4B-it-AWQ-INT4,4.494,5.051,5.722,5.089
google_gemma-3-270m-it,4.215,4.367,6.152,4.911
google_gemma-4-E2B-it,2.443,2.861,3.582,2.962
