rank,model,bleu,rouge,meteor,sem_score,bert_score,faithfulness,relevance,naturalness,overall
1,Qwen_Qwen2.5-32B-Instruct-AWQ,12.656330514606687,0.29958380609700697,0.4219540948547851,0.8961883345770967,0.7646887551380109,7.582,8.418,8.81,8.27
2,Qwen_Qwen2.5-14B-Instruct-AWQ,13.390704921350656,0.3125684515078454,0.4206785167212753,0.8967907818438363,0.7643656768376315,7.582,8.418,8.747,8.249
3,NCSOFT_Llama-VARCO-8B-Instruct,7.5600148916145775,0.26169919578472933,0.33329637982772803,0.882344900784568,0.7443541544902174,7.494,8.241,8.785,8.173
4,Qwen_QwQ-32B-AWQ,7.212541190266836,0.27572495521010676,0.3150739993691687,0.8570472036212876,0.7214122591893884,7.354,8.013,8.241,7.869
5,MLP-KTLim_llama-3-Korean-Bllossom-8B,11.061632227156695,0.2760620807099901,0.39726138086454243,0.873267294490434,0.747357588025588,7.165,7.899,8.481,7.848
6,Qwen_Qwen3-14B-AWQ,3.4728645866367276,0.05598461250415056,0.1636266689261549,0.7956321502778354,0.6470545967922935,7.595,8.443,7.152,7.73
7,Qwen_Qwen2.5-7B-Instruct-AWQ,14.206875505864918,0.2660462765995711,0.42644828038846005,0.8928029099018391,0.7713079263892355,6.899,7.785,8.494,7.726
8,Qwen_Qwen2.5-3B-Instruct,15.637484543994965,0.32185795953899576,0.4418180294568919,0.902042655478249,0.7761652960052973,6.62,7.519,8.481,7.54
9,Qwen_Qwen3-32B-AWQ,3.4999135293160157,0.0674218189121428,0.1726698173728287,0.7894571265182909,0.6504421000239216,7.127,7.759,6.848,7.245
10,RedHatAI_gemma-3-27b-it-quantized.w4a16,27.57492855014347,0.4312520127041877,0.5022814272801875,0.9193221055919159,0.8377278620683695,6.114,6.823,8.557,7.165
11,Bllossom_llama-3.2-Korean-Bllossom-3B,11.748944321000495,0.28936739642008413,0.3895650555462039,0.8633291368064967,0.7464790547950358,6.342,7.0,8.025,7.122
12,casperhansen_mistral-nemo-instruct-2407-awq,20.840645642365605,0.417245279589872,0.4600757888727612,0.8974728864495869,0.8078335931029501,5.81,6.684,8.342,6.945
13,Qwen_Qwen3-8B,11.658697877630857,0.3080071856972175,0.38388563029215717,0.861014253098703,0.7211715258374999,6.329,6.987,7.342,6.886
14,RedHatAI_gemma-3-12b-it-quantized.w4a16,26.942533951754186,0.45356097253931377,0.5008760138298348,0.9134356832889025,0.8307105574426772,5.468,6.405,8.506,6.793
15,cyankiwi_gemma-4-26B-A4B-it-AWQ-4bit,7.4381181744498805,0.1915425979441342,0.28330738484991913,0.8189863642994838,0.6908095795896989,6.203,6.81,7.228,6.747
16,google_gemma-3-1b-it,8.232021648494383,0.21536242103224817,0.2912731846382746,0.8236840829373512,0.6955985634387294,5.962,6.253,7.494,6.57
17,google_gemma-3-4b-it,25.600838469212736,0.40182785293260265,0.4508107249715097,0.9012047027549882,0.835641674603088,4.975,6.127,8.228,6.443
18,google_gemma-3n-E2B-it,30.02071393599567,0.4441652176702772,0.511316822676761,0.9177786349158339,0.8406867460359501,5.076,5.886,8.304,6.422
19,HuggingFaceH4_zephyr-7b-beta,15.54389655715055,0.3433612670450777,0.3952250842640303,0.8609605500712443,0.7718860129766827,5.278,6.114,7.848,6.413
20,mistralai_Mistral-7B-Instruct-v0.3,18.86665897504886,0.3959698148200175,0.42288742295498216,0.884257149076378,0.7900971174240112,5.241,6.0,7.899,6.38
21,Qwen_Qwen2.5-1.5B-Instruct,7.676233412160481,0.1979114787726409,0.29603504497088307,0.8247545472333707,0.710622359680224,5.291,6.316,7.443,6.35
22,microsoft_Phi-3.5-mini-instruct,7.5532610540765175,0.2524920921719135,0.25319953511028026,0.8134556249165326,0.7355908796757082,5.038,5.772,7.646,6.152
23,01-ai_Yi-1.5-9B-Chat,15.186255992180511,0.3304640907376339,0.3351712736391215,0.8686599573854611,0.7850724111629438,3.835,4.797,7.013,5.215
24,01-ai_Yi-1.5-6B-Chat,12.131014842330782,0.3115428420342791,0.28819263906424814,0.8437766608112878,0.7647776724416998,3.759,4.595,6.962,5.105
25,cyankiwi_gemma-4-E4B-it-AWQ-INT4,6.1706345480410265,0.1409956081350057,0.20178676993312802,0.7562179855393607,0.6337225656760367,4.494,5.051,5.722,5.089
26,google_gemma-3-270m-it,6.166412659112407,0.15667718575308157,0.24412411269854797,0.7676358541997451,0.6667124636565582,4.215,4.367,6.152,4.911
27,google_gemma-4-E2B-it,3.7208057405069725,0.14524131455036238,0.14949556366046685,0.7210867463341297,0.6276828139214903,2.443,2.861,3.582,2.962
